disease,symptoms,urgency,advice
Common Cold,"runny nose,sneezing,sore throat,cough,mild fever,congestion",low,"Rest, fluids, and over-the-counter cold medicine usually help. See a doctor if symptoms last more than 10 days."
Influenza,"fever,chills,muscle aches,fatigue,cough,headache,sore throat",medium,"Rest and hydrate. See a doctor if fever is high, persistent, or you have trouble breathing."
Migraine,"headache,nausea,sensitivity to light,sensitivity to sound,visual aura,throbbing pain",medium,"Rest in a dark quiet room. See a doctor if this is a new or unusually severe headache."
Gastroenteritis,"nausea,vomiting,diarrhea,stomach pain,fever,dehydration",medium,"Stay hydrated with fluids and electrolytes. Seek care if you can't keep fluids down or see blood in stool."
Allergic Rhinitis,"sneezing,itchy eyes,runny nose,nasal congestion,itchy throat",low,"Antihistamines often help. See a doctor if symptoms are persistent or affect daily life."
Asthma,"shortness of breath,wheezing,chest tightness,cough,difficulty breathing",high,"Use prescribed inhaler if available. Seek emergency care if breathing difficulty is severe."
Urinary Tract Infection,"burning urination,frequent urination,pelvic pain,cloudy urine,urgency to urinate",medium,"See a doctor soon for antibiotics. Seek urgent care if fever or back pain develops."
Strep Throat,"sore throat,fever,swollen lymph nodes,difficulty swallowing,red tonsils",medium,"See a doctor for testing; antibiotics may be needed to prevent complications."
Pneumonia,"cough,fever,chills,shortness of breath,chest pain,fatigue",high,"Seek medical attention promptly, especially if breathing is difficult or lips/face turn bluish."
Appendicitis,"abdominal pain,nausea,vomiting,fever,loss of appetite,pain near navel",high,"Seek emergency care immediately, especially if pain is severe or localized to the lower right abdomen."
Chickenpox,"itchy rash,fever,fatigue,loss of appetite,blister like bumps",low,"Rest, avoid scratching, and stay hydrated. See a doctor if rash spreads to eyes or signs of infection appear."
Conjunctivitis,"red eyes,itchy eyes,watery eyes,eye discharge,gritty feeling in eye",low,"Avoid touching eyes and wash hands often. See a doctor if vision is affected or pain is severe."
Sinusitis,"facial pain,nasal congestion,headache,thick nasal discharge,reduced sense of smell",low,"Rest and hydration usually help. See a doctor if symptoms persist beyond 10 days or fever develops."
Hypertension,"headache,dizziness,blurred vision,nosebleeds,shortness of breath",medium,"Monitor blood pressure and see a doctor for evaluation, especially if symptoms are new or severe."
Type 2 Diabetes,"frequent urination,excessive thirst,fatigue,blurred vision,slow healing sores",medium,"See a doctor for blood sugar testing and evaluation."
Anemia,"fatigue,pale skin,shortness of breath,dizziness,cold hands and feet",medium,"See a doctor for blood tests to determine the cause and appropriate treatment."
Anxiety Disorder,"excessive worry,restlessness,rapid heartbeat,difficulty concentrating,trouble sleeping",medium,"Consider speaking with a mental health professional. Seek urgent help if you feel unsafe."
Depression,"persistent sadness,loss of interest,fatigue,sleep changes,difficulty concentrating",medium,"Consider speaking with a mental health professional. Seek urgent help if you have thoughts of self-harm."
Heart Attack,"chest pain,shortness of breath,pain radiating to arm,cold sweat,nausea,lightheadedness",emergency,"Call emergency services immediately. This can be life-threatening."
Stroke,"sudden numbness,confusion,trouble speaking,vision loss,severe headache,loss of balance",emergency,"Call emergency services immediately. Fast treatment is critical."
Food Poisoning,"nausea,vomiting,diarrhea,stomach cramps,fever,weakness",medium,"Stay hydrated. Seek care if symptoms are severe, prolonged, or you notice blood in vomit or stool."
Bronchitis,"persistent cough,mucus production,fatigue,mild fever,chest discomfort",low,"Rest and fluids usually help. See a doctor if cough lasts more than 3 weeks or breathing worsens."
Eczema,"itchy skin,dry skin,red patches,skin rash,cracked skin",low,"Moisturize regularly and avoid irritants. See a doctor if it becomes infected or doesn't improve."
Tonsillitis,"sore throat,swollen tonsils,fever,difficulty swallowing,bad breath",medium,"See a doctor for evaluation; may require antibiotics if bacterial."
Vertigo,"dizziness,spinning sensation,balance problems,nausea,unsteadiness",medium,"See a doctor if episodes are frequent, severe, or accompanied by hearing loss."